"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"20:03:55,5273257","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.162.688, Length: 131.072"
"20:03:55,7368308","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.293.760, Length: 131.072"
"20:03:57,1043650","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.424.832, Length: 131.072"
"20:03:57,2388702","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.555.904, Length: 131.072"
"20:03:57,3662805","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.686.976, Length: 131.072"
"20:03:58,5554329","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.818.048, Length: 131.072"
"20:03:58,6833122","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 2.949.120, Length: 131.072"
"20:03:58,9818906","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 3.080.192, Length: 131.072"
"20:04:00,2680936","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 3.211.264, Length: 131.072"
"20:04:00,5793563","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 3.342.336, Length: 131.072"
"20:04:00,6996805","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 3.473.408, Length: 131.072"
"20:04:02,0213046","SearchProtocolHost.exe","3996","ReadFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS","Offset: 3.604.480, Length: 119.846"
"20:04:02,1912964","SearchProtocolHost.exe","3996","CloseFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS",""
"20:04:02,1913766","SearchProtocolHost.exe","3996","CloseFile","C:\Users\peter\KFLog\mapdata\airfields\WELT2000.TXT","SUCCESS",""
"20:04:22,5988152","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:04:22,5998079","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:04:22,5998492","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:04:24,2698267","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:04:24,2698960","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:04:24,2699229","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:04:27,4189039","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:04:27,4189683","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:04:27,4190268","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:04:28,1623981","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:04:28,1626451","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:04:28,1626794","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:04:40,9962142","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:04:40,9962836","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:04:40,9963132","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:02,8362926","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:02,8363547","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:02,8363829","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:03,1769958","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"20:05:03,1770535","qtcreator.exe","344","QueryNetworkOpenInformationFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","CreationTime: 25.08.2014 17:25:11, LastAccessTime: 04.09.2014 18:48:00, LastWriteTime: 04.09.2014 18:48:00, ChangeTime: 04.09.2014 18:48:00, AllocationSize: 01.01.1601 02:00:00, EndOfFile: 01.01.1601 02:00:00, FileAttributes: A"
"20:05:03,1770805","qtcreator.exe","344","CloseFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS",""
"20:05:03,3639073","qtcreator.exe","344","CreateFile","C:\Users\peter\dev\KFLog\kflog\welt2000.cpp","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
